,time,FR,years
315552,2016-01-01 00:00:00,0.125396,2016-01-01
315553,2016-01-01 01:00:00,0.098263,2016-01-01
315554,2016-01-01 02:00:00,0.082048,2016-01-01
315555,2016-01-01 03:00:00,0.074018,2016-01-01
315556,2016-01-01 04:00:00,0.072999,2016-01-01
315557,2016-01-01 05:00:00,0.082457,2016-01-01
315558,2016-01-01 06:00:00,0.102623,2016-01-01
315559,2016-01-01 07:00:00,0.12846300000000002,2016-01-01
315560,2016-01-01 08:00:00,0.15182400000000001,2016-01-01
315561,2016-01-01 09:00:00,0.16886800000000002,2016-01-01
315562,2016-01-01 10:00:00,0.20629899999999998,2016-01-01
315563,2016-01-01 11:00:00,0.248102,2016-01-01
315564,2016-01-01 12:00:00,0.283294,2016-01-01
315565,2016-01-01 13:00:00,0.314713,2016-01-01
315566,2016-01-01 14:00:00,0.33345,2016-01-01
315567,2016-01-01 15:00:00,0.384909,2016-01-01
315568,2016-01-01 16:00:00,0.440779,2016-01-01
315569,2016-01-01 17:00:00,0.472253,2016-01-01
315570,2016-01-01 18:00:00,0.49643000000000004,2016-01-01
315571,2016-01-01 19:00:00,0.5205,2016-01-01
315572,2016-01-01 20:00:00,0.532597,2016-01-01
315573,2016-01-01 21:00:00,0.521783,2016-01-01
315574,2016-01-01 22:00:00,0.520462,2016-01-01
315575,2016-01-01 23:00:00,0.515967,2016-01-01
