time,FR,ES,PT,GB,IT
2000-01-01,0.090753,0.129601,0.114649,0.335738,0.163953
2000-01-02,0.116973,0.078984,0.095908,0.471055,0.202590
2000-01-03,0.321233,0.130736,0.095627,0.639453,0.277436
2000-01-04,0.423629,0.159874,0.092899,0.543017,0.144214
2000-01-05,0.247620,0.235277,0.298957,0.824555,0.131723
2000-01-06,0.260400,0.195295,0.401011,0.595337,0.052260
2000-01-07,0.178523,0.166761,0.143609,0.849916,0.060263
2000-01-08,0.197391,0.114793,0.061768,0.690121,0.024247
2000-01-09,0.167069,0.320782,0.417642,0.293600,0.047271
2000-01-10,0.088044,0.358029,0.461225,0.530488,0.045478
2000-01-11,0.088614,0.247064,0.298881,0.496422,0.062477
2000-01-12,0.145414,0.161748,0.144215,0.429353,0.111941
2000-01-13,0.197493,0.245082,0.312353,0.274132,0.235756
2000-01-14,0.180170,0.356963,0.281340,0.425401,0.288216
2000-01-15,0.295846,0.247971,0.435762,0.216879,0.127711
2000-01-16,0.256673,0.269026,0.530313,0.254774,0.087030
2000-01-17,0.236047,0.244334,0.422572,0.357461,0.277383
2000-01-18,0.390891,0.386625,0.207700,0.316266,0.434251
2000-01-19,0.305174,0.489169,0.418637,0.165655,0.483725
2000-01-20,0.117386,0.254305,0.326000,0.265613,0.246312
2000-01-21,0.220115,0.256513,0.195226,0.352893,0.358821
2000-01-22,0.469018,0.336339,0.235564,0.697429,0.297856
2000-01-23,0.397242,0.343600,0.256013,0.311590,0.727104
2000-01-24,0.132476,0.202229,0.166051,0.110670,0.402284
2000-01-25,0.132927,0.177438,0.176046,0.057069,0.170569
2000-01-26,0.118094,0.300900,0.227762,0.141848,0.148007
2000-01-27,0.099850,0.242503,0.214438,0.383864,0.106074
2000-01-28,0.313402,0.115816,0.112172,0.733453,0.125576
2000-01-29,0.800924,0.229976,0.100004,0.960067,0.180965
2000-01-30,0.685188,0.211897,0.250336,0.688749,0.367738
2000-01-31,0.350139,0.196165,0.355244,0.601885,0.225737
