,time,local_time,temperature,hours
12,2019-01-01 12:00,2019-01-01 13:00,6.99,12:00
36,2019-01-02 12:00,2019-01-02 13:00,5.382000000000001,12:00
60,2019-01-03 12:00,2019-01-03 13:00,2.75,12:00
84,2019-01-04 12:00,2019-01-04 13:00,2.685,12:00
108,2019-01-05 12:00,2019-01-05 13:00,2.908,12:00
132,2019-01-06 12:00,2019-01-06 13:00,2.397,12:00
156,2019-01-07 12:00,2019-01-07 13:00,4.946000000000001,12:00
180,2019-01-08 12:00,2019-01-08 13:00,5.559,12:00
204,2019-01-09 12:00,2019-01-09 13:00,4.394,12:00
228,2019-01-10 12:00,2019-01-10 13:00,1.351,12:00
252,2019-01-11 12:00,2019-01-11 13:00,2.318,12:00
276,2019-01-12 12:00,2019-01-12 13:00,4.178999999999999,12:00
300,2019-01-13 12:00,2019-01-13 13:00,8.434,12:00
324,2019-01-14 12:00,2019-01-14 13:00,8.635,12:00
348,2019-01-15 12:00,2019-01-15 13:00,6.815,12:00
372,2019-01-16 12:00,2019-01-16 13:00,8.493,12:00
396,2019-01-17 12:00,2019-01-17 13:00,7.075,12:00
420,2019-01-18 12:00,2019-01-18 13:00,2.935,12:00
444,2019-01-19 12:00,2019-01-19 13:00,3.48,12:00
468,2019-01-20 12:00,2019-01-20 13:00,4.255,12:00
492,2019-01-21 12:00,2019-01-21 13:00,1.052,12:00
516,2019-01-22 12:00,2019-01-22 13:00,1.0090000000000001,12:00
540,2019-01-23 12:00,2019-01-23 13:00,1.4509999999999998,12:00
564,2019-01-24 12:00,2019-01-24 13:00,1.084,12:00
588,2019-01-25 12:00,2019-01-25 13:00,2.737,12:00
612,2019-01-26 12:00,2019-01-26 13:00,4.791,12:00
636,2019-01-27 12:00,2019-01-27 13:00,5.2010000000000005,12:00
660,2019-01-28 12:00,2019-01-28 13:00,3.998,12:00
684,2019-01-29 12:00,2019-01-29 13:00,4.041,12:00
708,2019-01-30 12:00,2019-01-30 13:00,4.2589999999999995,12:00
732,2019-01-31 12:00,2019-01-31 13:00,4.591,12:00
756,2019-02-01 12:00,2019-02-01 13:00,8.285,12:00
780,2019-02-02 12:00,2019-02-02 13:00,3.716,12:00
804,2019-02-03 12:00,2019-02-03 13:00,4.018,12:00
828,2019-02-04 12:00,2019-02-04 13:00,3.1710000000000003,12:00
852,2019-02-05 12:00,2019-02-05 13:00,7.454,12:00
876,2019-02-06 12:00,2019-02-06 13:00,9.715,12:00
900,2019-02-07 12:00,2019-02-07 13:00,9.088,12:00
924,2019-02-08 12:00,2019-02-08 13:00,8.984,12:00
948,2019-02-09 12:00,2019-02-09 13:00,10.131,12:00
972,2019-02-10 12:00,2019-02-10 13:00,8.161,12:00
996,2019-02-11 12:00,2019-02-11 13:00,5.6610000000000005,12:00
1020,2019-02-12 12:00,2019-02-12 13:00,8.11,12:00
1044,2019-02-13 12:00,2019-02-13 13:00,9.442,12:00
1068,2019-02-14 12:00,2019-02-14 13:00,13.534,12:00
1092,2019-02-15 12:00,2019-02-15 13:00,14.635,12:00
1116,2019-02-16 12:00,2019-02-16 13:00,14.581,12:00
1140,2019-02-17 12:00,2019-02-17 13:00,14.821,12:00
1164,2019-02-18 12:00,2019-02-18 13:00,13.997,12:00
1188,2019-02-19 12:00,2019-02-19 13:00,10.544,12:00
1212,2019-02-20 12:00,2019-02-20 13:00,13.829,12:00
1236,2019-02-21 12:00,2019-02-21 13:00,15.762,12:00
1260,2019-02-22 12:00,2019-02-22 13:00,15.39,12:00
1284,2019-02-23 12:00,2019-02-23 13:00,13.222999999999999,12:00
1308,2019-02-24 12:00,2019-02-24 13:00,14.549000000000001,12:00
1332,2019-02-25 12:00,2019-02-25 13:00,14.743,12:00
1356,2019-02-26 12:00,2019-02-26 13:00,17.974,12:00
1380,2019-02-27 12:00,2019-02-27 13:00,20.666999999999998,12:00
1404,2019-02-28 12:00,2019-02-28 13:00,13.727,12:00
1428,2019-03-01 12:00,2019-03-01 13:00,10.624,12:00
1452,2019-03-02 12:00,2019-03-02 13:00,12.4,12:00
1476,2019-03-03 12:00,2019-03-03 13:00,13.437000000000001,12:00
1500,2019-03-04 12:00,2019-03-04 13:00,9.238,12:00
1524,2019-03-05 12:00,2019-03-05 13:00,11.464,12:00
1548,2019-03-06 12:00,2019-03-06 13:00,13.418,12:00
1572,2019-03-07 12:00,2019-03-07 13:00,10.829,12:00
1596,2019-03-08 12:00,2019-03-08 13:00,10.600999999999999,12:00
1620,2019-03-09 12:00,2019-03-09 13:00,14.07,12:00
1644,2019-03-10 12:00,2019-03-10 13:00,12.904000000000002,12:00
1668,2019-03-11 12:00,2019-03-11 13:00,9.318,12:00
1692,2019-03-12 12:00,2019-03-12 13:00,12.65,12:00
1716,2019-03-13 12:00,2019-03-13 13:00,9.525,12:00
1740,2019-03-14 12:00,2019-03-14 13:00,9.823,12:00
1764,2019-03-15 12:00,2019-03-15 13:00,12.065,12:00
1788,2019-03-16 12:00,2019-03-16 13:00,12.136,12:00
1812,2019-03-17 12:00,2019-03-17 13:00,9.389,12:00
1836,2019-03-18 12:00,2019-03-18 13:00,8.137,12:00
1860,2019-03-19 12:00,2019-03-19 13:00,10.288,12:00
1884,2019-03-20 12:00,2019-03-20 13:00,12.380999999999998,12:00
1908,2019-03-21 12:00,2019-03-21 13:00,13.274000000000001,12:00
1932,2019-03-22 12:00,2019-03-22 13:00,17.243,12:00
1956,2019-03-23 12:00,2019-03-23 13:00,17.948,12:00
1980,2019-03-24 12:00,2019-03-24 13:00,14.067,12:00
2004,2019-03-25 12:00,2019-03-25 13:00,11.696,12:00
2028,2019-03-26 12:00,2019-03-26 13:00,10.765999999999998,12:00
2052,2019-03-27 12:00,2019-03-27 13:00,12.39,12:00
2076,2019-03-28 12:00,2019-03-28 13:00,14.382,12:00
2100,2019-03-29 12:00,2019-03-29 13:00,16.702,12:00
2124,2019-03-30 12:00,2019-03-30 13:00,17.42,12:00
2148,2019-03-31 12:00,2019-03-31 14:00,18.619,12:00
2172,2019-04-01 12:00,2019-04-01 14:00,19.320999999999998,12:00
2196,2019-04-02 12:00,2019-04-02 14:00,15.037,12:00
2220,2019-04-03 12:00,2019-04-03 14:00,7.419,12:00
2244,2019-04-04 12:00,2019-04-04 14:00,9.379,12:00
2268,2019-04-05 12:00,2019-04-05 14:00,12.843,12:00
2292,2019-04-06 12:00,2019-04-06 14:00,12.145,12:00
2316,2019-04-07 12:00,2019-04-07 14:00,13.079,12:00
2340,2019-04-08 12:00,2019-04-08 14:00,16.158,12:00
2364,2019-04-09 12:00,2019-04-09 14:00,13.349,12:00
2388,2019-04-10 12:00,2019-04-10 14:00,13.16,12:00
2412,2019-04-11 12:00,2019-04-11 14:00,14.852,12:00
2436,2019-04-12 12:00,2019-04-12 14:00,13.294,12:00
2460,2019-04-13 12:00,2019-04-13 14:00,11.159,12:00
2484,2019-04-14 12:00,2019-04-14 14:00,10.242,12:00
2508,2019-04-15 12:00,2019-04-15 14:00,15.099,12:00
2532,2019-04-16 12:00,2019-04-16 14:00,13.488,12:00
2556,2019-04-17 12:00,2019-04-17 14:00,19.578,12:00
2580,2019-04-18 12:00,2019-04-18 14:00,21.746,12:00
2604,2019-04-19 12:00,2019-04-19 14:00,23.346,12:00
